,h1,h2
0,"(857.0, 222)","(483.5, 287)"
1,"(856.5, 222)","(484.0, 285)"
2,"(856.5, 223)","(484.0, 286)"
3,"(856.5, 222)","(483.5, 286)"
4,"(855.5, 222)","(483.5, 286)"
5,"(855.5, 220)","(482.5, 285)"
6,"(854.0, 219)","(482.0, 285)"
7,"(854.5, 219)","(481.5, 284)"
8,"(854.0, 219)","(481.0, 284)"
9,"(853.5, 218)","(480.5, 285)"
10,"(854.0, 219)","(479.5, 285)"
11,"(853.0, 219)","(478.5, 285)"
12,"(853.5, 218)","(478.5, 284)"
13,"(853.0, 219)","(477.5, 284)"
14,"(854.5, 219)","(476.5, 284)"
15,"(855.0, 219)","(475.5, 284)"
16,"(855.5, 218)","(475.5, 284)"
17,"(857.0, 219)","(476.0, 285)"
18,"(859.5, 220)","(476.0, 285)"
19,"(863.5, 221)","(475.0, 286)"
20,"(866.0, 223)","(475.0, 285)"
21,"(870.5, 224)","(474.5, 287)"
22,"(873.0, 222)","(474.5, 288)"
23,"(876.0, 221)","(473.0, 288)"
24,"(879.5, 224)","(473.5, 289)"
25,"(881.0, 223)","(473.0, 288)"
26,"(884.5, 226)","(472.5, 288)"
27,"(888.5, 229)","(472.0, 288)"
28,"(891.0, 229)","(471.5, 289)"
29,"(894.5, 231)","(471.0, 289)"
30,"(898.5, 231)","(471.5, 289)"
31,"(898.5, 234)","(470.5, 289)"
32,"(903.5, 232)","(470.5, 289)"
33,"(903.5, 234)","(468.5, 289)"
34,"(906.5, 236)","(468.5, 290)"
35,"(909.5, 235)","(468.0, 290)"
36,"(910.0, 235)","(468.0, 291)"
37,"(910.5, 238)","(467.5, 292)"
38,"(910.5, 239)","(467.5, 292)"
39,"(910.5, 242)","(467.5, 294)"
40,"(911.5, 242)","(467.0, 294)"
41,"(911.5, 243)","(467.0, 295)"
42,"(911.5, 244)","(467.0, 295)"
43,"(910.5, 247)","(466.5, 295)"
44,"(910.5, 251)","(466.5, 296)"
45,"(910.5, 252)","(466.5, 297)"
46,"(910.0, 252)","(466.5, 299)"
47,"(907.5, 254)","(465.5, 300)"
48,"(906.5, 258)","(466.5, 301)"
49,"(905.0, 261)","(467.5, 302)"
50,"(903.5, 262)","(467.0, 303)"
51,"(902.5, 264)","(466.5, 305)"
52,"(898.5, 266)","(467.0, 305)"
53,"(897.5, 268)","(467.0, 306)"
54,"(894.5, 271)","(467.0, 308)"
55,"(892.0, 273)","(466.5, 308)"
56,"(889.5, 274)","(467.5, 309)"
57,"(886.5, 276)","(466.5, 311)"
58,"(883.5, 279)","(466.5, 312)"
59,"(879.5, 280)","(466.5, 312)"
60,"(875.5, 284)","(466.0, 314)"
61,"(871.5, 284)","(465.5, 314)"
62,"(867.5, 285)","(466.5, 316)"
63,"(864.0, 285)","(464.5, 318)"
64,"(857.0, 285)","(464.5, 324)"
65,"(853.0, 287)","(465.0, 325)"
66,"(848.5, 289)","(463.5, 323)"
67,"(844.5, 289)","(463.5, 323)"
68,"(838.5, 290)","(461.5, 321)"
69,"(830.5, 290)","(460.5, 320)"
70,"(827.0, 289)","(459.5, 320)"
71,"(821.5, 293)","(457.5, 321)"
72,"(817.5, 293)","(454.5, 320)"
73,"(812.5, 290)","(454.5, 320)"
74,"(806.5, 289)","(450.5, 317)"
75,"(799.5, 287)","(448.0, 317)"
76,"(794.5, 288)","(444.5, 317)"
77,"(789.5, 288)","(444.5, 316)"
78,"(783.5, 287)","(440.0, 316)"
79,"(777.5, 287)","(436.0, 316)"
80,"(774.0, 287)","(434.0, 315)"
81,"(770.5, 288)","(430.5, 315)"
82,"(765.5, 287)","(426.5, 313)"
83,"(759.5, 287)","(422.5, 312)"
84,"(754.5, 287)","(418.5, 312)"
85,"(753.5, 288)","(417.5, 313)"
86,"(748.5, 286)","(413.5, 310)"
87,"(747.5, 286)","(411.5, 311)"
88,"(745.5, 287)","(410.5, 310)"
89,"(741.5, 289)","(407.0, 307)"
90,"(739.5, 288)","(407.0, 306)"
91,"(736.5, 288)","(405.0, 306)"
92,"(734.0, 285)","(403.0, 305)"
93,"(732.0, 285)","(402.0, 305)"
94,"(729.0, 287)","(399.5, 303)"
95,"(726.5, 286)","(397.5, 302)"
96,"(723.5, 284)","(393.5, 300)"
97,"(720.0, 283)","(392.5, 300)"
